2026-04-15 18:49:52.279 | INFO     | __main__:get_state_dict:13 - Loading Qwen/Qwen3-4B...
2026-04-15 18:49:58.335 | INFO     | __main__:get_state_dict:13 - Loading ViratChauhan/Qwen3-4B-OPD-v2...
2026-04-15 18:50:14.101 | INFO     | __main__:get_state_dict:13 - Loading ViratChauhan/Qwen3-4B-OPSD...
2026-04-15 18:50:30.321 | INFO     | __main__:get_state_dict:13 - Loading ViratChauhan/Qwen3-4B-GRPO...
2026-04-15 18:51:21.551 | INFO     | __main__:analyze_models:33 - ==================================================
2026-04-15 18:51:21.551 | INFO     | __main__:analyze_models:34 - Analyzing: ViratChauhan/Qwen3-4B-OPD-v2 vs Base
2026-04-15 18:51:22.241 | INFO     | __main__:analyze_models:69 -   model.layers.0.self_attn.v_proj.weight: Sparsity: 80.90% | Rank: 1024/1024
2026-04-15 18:51:23.306 | INFO     | __main__:analyze_models:69 -   model.layers.0.mlp.down_proj.weight: Sparsity: 83.11% | Rank: 2560/2560
2026-04-15 18:51:23.544 | INFO     | __main__:analyze_models:69 -   model.layers.1.self_attn.v_proj.weight: Sparsity: 77.39% | Rank: 1024/1024
2026-04-15 18:51:24.545 | INFO     | __main__:analyze_models:69 -   model.layers.1.mlp.down_proj.weight: Sparsity: 61.97% | Rank: 2560/2560
2026-04-15 18:51:24.784 | INFO     | __main__:analyze_models:69 -   model.layers.2.self_attn.v_proj.weight: Sparsity: 79.50% | Rank: 1024/1024
2026-04-15 18:51:25.842 | INFO     | __main__:analyze_models:69 -   model.layers.2.mlp.down_proj.weight: Sparsity: 66.87% | Rank: 2560/2560
2026-04-15 18:51:26.080 | INFO     | __main__:analyze_models:69 -   model.layers.3.self_attn.v_proj.weight: Sparsity: 80.26% | Rank: 1024/1024
2026-04-15 18:51:27.145 | INFO     | __main__:analyze_models:69 -   model.layers.3.mlp.down_proj.weight: Sparsity: 75.25% | Rank: 2560/2560
2026-04-15 18:51:27.383 | INFO     | __main__:analyze_models:69 -   model.layers.4.self_attn.v_proj.weight: Sparsity: 80.88% | Rank: 1024/1024
2026-04-15 18:51:28.443 | INFO     | __main__:analyze_models:69 -   model.layers.4.mlp.down_proj.weight: Sparsity: 81.53% | Rank: 2560/2560
2026-04-15 18:51:28.680 | INFO     | __main__:analyze_models:69 -   model.layers.5.self_attn.v_proj.weight: Sparsity: 80.89% | Rank: 1024/1024
2026-04-15 18:51:29.739 | INFO     | __main__:analyze_models:69 -   model.layers.5.mlp.down_proj.weight: Sparsity: 82.58% | Rank: 2560/2560
2026-04-15 18:51:29.978 | INFO     | __main__:analyze_models:69 -   model.layers.6.self_attn.v_proj.weight: Sparsity: 82.78% | Rank: 1024/1024
2026-04-15 18:51:31.037 | INFO     | __main__:analyze_models:69 -   model.layers.6.mlp.down_proj.weight: Sparsity: 83.27% | Rank: 2560/2560
2026-04-15 18:51:31.274 | INFO     | __main__:analyze_models:69 -   model.layers.7.self_attn.v_proj.weight: Sparsity: 83.84% | Rank: 1024/1024
2026-04-15 18:51:32.339 | INFO     | __main__:analyze_models:69 -   model.layers.7.mlp.down_proj.weight: Sparsity: 83.17% | Rank: 2560/2560
2026-04-15 18:51:32.576 | INFO     | __main__:analyze_models:69 -   model.layers.8.self_attn.v_proj.weight: Sparsity: 84.41% | Rank: 1024/1024
